model,pr_auc,accuracy,failure_precision,failure_recall,failure_f1,best_threshold,best_precision,best_recall,best_f1
baseline_logistic_regression,0.06670053218099757,0.8228609625668449,0,0,0,0.5601681834618419,0.007598784194528876,0.5263157894736842,0.0149812734082397
production_xgboost,0.023340273038252743,0.9936497326203209,0,0,0,0.3481338918209076,0.16666666666666666,0.05263157894736842,0.08
