metric_type,metric_name,value,threshold,additional_info
recall_at_fpr,Recall @ 1.0% FPR,0.05263157894736842,0.03784753,"Precision: 0.032, Alerts/day: 0.2"
recall_at_fpr,Recall @ 5.0% FPR,0.2631578947368421,0.006680838,"Precision: 0.031, Alerts/day: 1.3"
recall_at_fpr,Recall @ 10.0% FPR,0.42105263157894735,0.0032261056,"Precision: 0.029, Alerts/day: 2.2"
precision_at_k,Precision @ Top-10,0.1,0.08510942,"Recall: 0.053, Alerts/day: 0.1"
precision_at_k,Precision @ Top-25,0.04,0.04499713,"Recall: 0.053, Alerts/day: 0.2"
precision_at_k,Precision @ Top-50,0.06,0.026674664,"Recall: 0.158, Alerts/day: 0.4"
precision_at_k,Precision @ Top-100,0.04,0.011495252,"Recall: 0.211, Alerts/day: 0.8"
